200 199
94 161 6.613986876764104
4 161 5.38331495549287
67 161 6.683724376736088
161 173 8.87641996784074
4 52 4.8673176474622135
52 79 5.66548545254159
86 173 6.138582606835839
52 126 2.327503611336871
130 173 6.9728239909657015
96 126 8.334581330280262
129 130 1.65073886027018
31 161 8.577066752437926
79 84 4.553854535707524
19 52 7.637819015963402
24 161 2.451812337181452
19 70 8.097119230389048
86 176 7.281586239654716
96 105 2.6170297776089524
11 86 1.0581519095149043
84 99 2.084444213347476
50 161 1.7577746959632776
4 198 4.451874804163217
29 79 5.227750508874036
123 173 5.821025529685891
0 52 2.6455636849992747
44 161 9.993319085260124
126 175 9.570848054115496
29 121 1.5629079278161881
176 180 8.795833676769718
3 175 3.120148835026548
122 161 5.117391070468369
31 35 7.435558537400534
96 170 1.5581235002072904
3 157 1.376407906978359
90 123 2.355744412569286
52 136 6.29610681612336
66 175 5.317667790778854
152 157 8.364053675206112
19 36 3.3120004991065786
129 189 7.811102564131197
171 198 2.5674822630972938
70 77 8.767545541607078
31 117 2.886589981999795
11 158 4.9752583753527055
117 164 2.624925230440901
130 181 1.113368889739124
4 92 8.09447731336168
42 130 2.577349035807387
64 117 1.750764528126369
136 155 3.307335657730451
7 152 2.3069734482714783
170 186 9.58029320821546
23 64 8.600259666440225
86 125 4.421411722193589
92 149 5.450549179746981
86 143 8.250925197136343
118 157 4.836541558866857
66 91 1.7629174544180988
97 164 8.039124256309435
123 190 9.301714268363922
92 167 6.013517764094615
21 190 7.199120869147848
107 152 5.30501977045766
10 107 2.409349180334314
35 69 4.800522801589338
148 155 2.3713952142825243
0 101 9.498258692755075
61 107 3.358035609564937
117 140 7.327287304797484
88 149 3.8164597025250813
5 123 2.0219081065972375
64 147 7.4137628278522785
20 99 3.204507722148919
164 168 7.595376323730364
2 61 7.2000074871189454
129 135 7.260454556766337
69 150 9.97133510227789
20 169 2.288539403529981
18 117 3.64324055277231
130 132 7.064578869105773
10 45 5.878318161907301
21 83 1.0214287086346827
71 123 8.67271592501844
4 160 5.553668262870783
36 154 8.172937612202137
50 151 4.375608899808061
137 140 5.300373167553949
67 81 7.667192586615095
41 121 2.321692768432548
9 11 8.243632869256155
31 127 2.2251498991961514
12 175 6.751512700083867
63 157 3.9395240678863894
23 196 2.892897761683102
17 79 3.1157550203987836
25 44 4.667285064418861
110 189 7.484977627840342
57 137 7.267180681802667
41 185 8.362822688206098
82 130 6.55472670152126
75 140 9.749161200742458
145 151 3.275455293993078
22 170 1.9213488833043908
156 168 3.406721628275067
12 27 4.732651614338872
61 177 5.053753443949716
40 156 5.403391525669415
87 126 7.1669767402239675
33 121 7.871288376980186
74 110 5.14295407486382
90 184 9.746840892984165
36 93 2.921258996684321
16 173 7.168023994521705
23 174 9.831272177514096
103 158 1.7268748940377479
163 189 2.90795800010129
39 151 9.956260115492357
5 134 3.7688797565880403
98 167 9.146173151437205
80 171 9.647562693163584
34 143 4.256206249236243
47 176 1.8397691759950137
146 176 6.3335991268462335
59 173 1.6523647658788256
160 187 1.9582939370131274
39 192 3.471281055853924
8 74 5.325094312217801
9 13 5.347392651074805
6 45 4.548291237183766
156 191 1.6735257727876578
67 104 8.372981677697808
1 79 2.7091454539990334
3 116 5.184885885007161
30 157 2.0185602809127503
20 183 5.514557866307927
143 172 2.9932969316956424
124 173 9.86402042863463
108 145 1.241112973178754
114 187 4.252514582404988
160 199 1.7429424399693025
104 109 7.606810723051837
78 168 2.8942273390495625
43 175 4.319536113433962
95 170 7.6274664264836165
71 144 2.762114527491303
36 73 5.298388207279881
35 131 7.378007393713302
2 85 5.570101804914452
0 56 5.129773737094147
98 100 2.1960628937202284
26 132 1.7703119509970433
173 195 2.5649242320194263
60 173 5.499144062670108
35 142 7.641062871060634
5 115 5.793600805204427
56 112 2.8158818653309914
37 151 4.0058312080812515
136 139 2.265920428855974
166 174 2.638183278303941
29 76 4.382047541841688
100 102 3.5109960950504657
105 106 9.61505416297127
65 71 7.420212686191319
80 182 5.713372158602025
96 188 9.692934786300114
137 178 8.437246317293429
58 182 1.2108205727715515
47 55 1.7186477036856243
62 171 6.805442195479911
48 148 8.470728302969981
74 119 6.914571680310682
68 119 4.332738861060376
53 183 5.2403992398850505
120 160 6.745863823784445
85 111 6.419041961282229
46 95 7.7880720693190515
54 123 8.84876065008768
38 53 3.3768419136586103
37 179 7.470030216098003
26 128 8.536442952311132
49 124 4.581362305371801
28 84 2.265624385227672
140 165 4.537214428858727
72 161 8.12502892372994
75 159 6.389679377579904
20 194 1.8174416509847104
51 157 9.236044111259814
156 197 3.9812901020582765
32 199 3.042147694151868
15 168 4.289072138432532
91 193 6.541239024764484
34 138 1.353796862443661
113 120 4.5697428754564875
16 133 8.09892846179321
162 187 3.1426787235081983
47 153 8.026633124327233
141 187 2.568117142891661
14 167 4.26504993086592
89 112 1.1538120567195262
