200 11940
16 156 5.9696060547728
156 158 8.372853707476931
34 158 3.259789075762145
110 158 6.625509975840626
110 147 3.5258472815675224
117 147 5.6192895307349895
87 156 2.881958371142342
156 173 8.697148351184644
147 177 6.114726647877021
89 147 4.351693587875907
89 183 1.533922757386318
50 156 8.934790284984597
84 173 9.577092612197495
147 178 2.5934796486823934
74 87 9.885907199025535
104 158 7.9165668892237075
34 188 5.047197327751681
87 197 7.870252930502334
23 87 1.9450480001586206
63 104 3.9727254512190435
45 183 6.136250203091216
96 104 9.51292983551732
110 165 1.114187851694727
126 156 3.238266587745613
141 188 8.129680309471528
34 116 9.430172548067056
87 193 6.470228207963808
104 137 1.8733203788046087
105 188 8.561994727689006
13 34 6.473471568678837
37 183 4.464148900567603
58 104 9.489755960572795
106 110 2.323511087041902
93 177 5.1095657632232365
105 170 5.071147867191544
172 197 9.922289637979766
63 133 3.459536590745846
56 177 7.915850382437475
124 188 9.663928376366913
77 178 9.98554534203899
89 171 4.767287047106512
23 86 1.8353798280495481
110 119 9.901490609626764
46 170 7.222804009613714
30 177 9.883660760220003
69 177 9.18038486768926
42 165 8.154063920727307
115 133 1.5445943137087257
141 192 7.797365564239485
68 177 8.614934969614271
83 170 2.1088012715105657
104 163 6.201022967858363
40 158 6.136018979950104
14 188 3.8838905136062887
77 146 1.2415019720854124
67 89 5.290025965185152
50 149 4.4190882126505056
141 186 7.280856346495009
115 169 7.270573234874127
24 74 8.581273734498074
156 179 6.904730017530335
151 197 3.5220794445478307
23 82 8.178800445719682
29 37 1.3910045910128614
69 128 9.865406920416431
64 128 5.1416043199404875
7 106 1.3813374194217232
23 108 1.5517386355815983
68 98 1.3590230872896119
101 188 8.850601605147475
101 160 5.549800333436004
54 86 2.932172872677165
52 124 4.564191734999085
83 132 1.5621505905630861
137 181 2.466284265812795
132 154 9.155834793917792
102 119 7.937343043529034
35 165 5.490258912055672
62 133 9.11042614269311
71 137 2.538630267738923
163 185 2.7175450886696915
10 124 8.15540611598353
94 185 6.351417649854016
10 140 2.516848674426921
37 121 2.3113343026693856
86 190 6.857822922884878
38 40 8.180086320626945
38 122 6.285027186746307
27 52 9.380609237383528
90 171 1.4096684325609135
10 21 9.820339257819887
62 187 3.2523696661093253
77 130 3.2801105651222984
23 95 6.138164447682333
3 42 9.177940527041002
94 118 5.027784478743088
68 174 3.8673878341887846
61 132 2.1405740889926794
113 132 4.857840477176683
75 77 4.000273706897307
47 118 4.821817527471431
17 126 5.919419471870393
66 102 7.765040097094823
52 189 4.03699122212176
2 173 3.672301017660006
122 166 6.278616306582432
151 196 1.2429190015905776
22 166 7.165602481166262
58 153 6.689878753893906
80 105 5.488744753071528
73 158 2.5834642787797684
0 196 7.531301554452785
82 134 4.482307309893423
83 120 2.5010406925977278
30 99 9.243023095177538
2 81 1.2993490399040248
11 120 6.2573867948952415
29 112 9.584364168996792
5 124 2.8713444971763136
36 173 1.9298497865784592
44 185 1.745040569154956
27 152 4.784234433929071
58 195 8.486356396747878
158 175 3.6512252379675054
138 158 5.4949731191550955
81 176 1.0462292698268512
57 71 1.1075383140889112
112 150 6.6942058900822765
91 173 4.0695900298846475
87 167 3.8796920959790446
117 139 6.3647938863618245
111 140 3.4184133439282913
76 102 1.6134071706576583
6 175 5.437454787428967
0 55 9.544150025202864
25 192 3.730208987724807
180 195 4.1195424943632
59 170 7.8909577557145845
109 158 6.000546279997378
54 148 5.744375809057236
118 143 1.988716436889101
12 179 6.223725221370541
37 49 7.706544935241549
69 79 6.045370910984781
116 131 2.2149281520563986
72 183 7.007146850914472
32 172 3.4834412924940614
155 166 9.382032159321996
27 135 8.754750474818714
44 162 4.768102034474397
129 167 1.157929789751367
157 179 1.0329311438272828
4 106 3.130258632069937
26 133 6.1473474072447845
65 120 2.9956304907140714
118 184 3.1526241902662404
8 157 9.180612149694664
33 171 1.3390571875662491
149 159 9.25775538749086
60 106 3.253460959551443
70 71 2.338044023827432
2 145 3.5660446623555107
168 180 9.096136640515498
148 194 2.4174950109014537
135 199 8.096132318449783
71 191 4.003409420244077
127 152 7.665913383086601
92 194 9.903232339159056
58 85 8.24039507869123
101 142 1.2170927475135151
88 92 6.1182133219993515
19 189 9.541240363269784
15 126 6.465454451714142
123 183 3.089541635607682
28 140 2.6488975804358907
1 152 5.887224899360688
41 46 8.92796388962364
39 179 1.8553175842400118
51 127 2.300391213571933
55 161 3.381755357032479
37 43 6.35997551188596
103 129 9.0230577763036
10 78 2.720344832954408
0 136 2.0882462625288714
9 88 4.047606951707568
42 198 4.630047536716562
31 90 9.414239490296385
97 119 5.220296395461624
114 151 3.478224617652009
41 100 5.486541039519919
20 21 3.038292221271936
48 166 4.1753249355560165
182 186 3.616758655057982
95 164 6.829824740360492
18 101 5.440293684401059
144 153 9.689305279859711
125 175 1.3126472292907967
107 196 9.675297654108398
53 154 8.616844762666377
20 35 5.282646567726532
157 176 6.106198630692798
164 190 5.971970921783631
13 182 6.235279802925696
21 89 9.498315632249504
28 190 2.6251167962126707
82 195 5.103905082568085
17 103 4.986953146942244
94 198 7.85719144600564
95 178 6.877211845570124
55 138 7.608608539223313
139 168 4.302440347584218
105 149 4.366265027201946
30 158 5.725115405234596
41 112 5.358508751790628
179 189 5.334134619415439
119 139 2.851781030316722
78 88 2.880031656445733
29 187 2.7399012864431795
101 150 7.140971158055373
69 115 3.655307252976087
9 111 8.178377780464231
9 70 5.506422388838239
1 118 8.09566446473498
21 147 9.967114521395835
43 144 9.912025691572913
50 178 7.454940996537747
149 180 5.007582939432325
108 132 1.5696226472602017
64 141 3.118695915156172
64 160 2.354076497932367
64 103 6.838887252779145
24 185 8.817858367416086
78 131 2.2612830923809577
147 172 3.903053176285857
67 83 8.953297299428796
2 82 7.065817489056766
39 108 3.1743954477112872
26 123 1.4622180896859975
55 101 4.216146239561462
48 174 8.369338114039007
15 95 3.0137958991702014
37 176 9.080501897442248
40 154 3.2304198021199833
7 34 8.890115604481458
154 168 8.19140211109716
37 109 8.23884045328666
82 87 7.643307946365374
84 126 1.8190059645787957
138 173 8.877581202997561
5 58 8.201903360281104
80 193 2.77138239346008
97 118 3.0705027830068783
9 138 1.0378410132318434
143 168 1.5885332946301074
120 133 3.395415414408274
81 135 7.3337679898374795
85 136 5.786386817500226
3 80 9.533982121098123
64 111 3.6016019176535643
88 199 3.2985634395389702
81 101 6.567062774554535
31 169 7.669773042507391
84 151 5.607919903714067
109 162 7.07410883670577
108 158 5.8161444736509464
147 189 5.451939247158065
87 106 6.822057649248522
64 107 2.461184410181689
31 127 4.835491834081084
62 164 8.739676306834731
4 192 7.3656928563798285
88 101 2.5209671828746982
114 197 6.309199935665888
18 66 9.039954217813925
19 29 2.600316059169063
89 140 1.4862028121850825
37 175 2.3378551824365794
168 192 8.635331756928764
1 97 3.287190808758823
102 179 3.3205182102493804
68 170 1.4817560923060522
52 149 8.345658496066147
5 75 7.353264954351216
97 138 7.547728363003097
25 168 3.474450467704228
15 120 7.980278528049277
49 104 2.935537782578211
44 51 3.6566969517028878
150 194 1.971297027257532
46 192 3.7439365889131335
147 164 8.448718259012884
17 131 8.505464273696447
35 179 2.1391500105341406
39 152 8.266378016725813
164 176 6.600477081365551
51 190 3.80987051792224
18 119 2.636556705443771
37 42 1.664558647111137
31 147 1.060380631784119
22 165 1.0874586811857085
73 101 3.1433439315279967
7 186 2.889893349742165
133 155 4.0750866229179055
43 112 1.4834896444338863
78 115 1.1364579688060656
2 95 2.1119128282423762
4 86 6.788530348968768
35 168 1.2704161581359013
92 128 8.643846914714402
75 199 5.156982356748493
46 84 9.199316648367564
66 117 9.759811700037018
32 193 4.196708879731185
36 53 3.3593451761204243
65 175 8.145859806056587
11 198 8.24451537404579
73 84 4.850721770568293
97 161 7.081065623784877
37 148 5.885298150240024
108 191 4.744248821468233
116 179 6.863231986730881
154 158 3.1285825659205058
111 147 4.822257077068761
87 150 7.135801247440552
122 164 5.118768291186731
92 125 5.094512526967306
109 119 3.7102550942174255
61 147 6.235527938071494
33 128 2.371938255529643
3 51 6.240806168756072
78 149 3.6093684529219328
70 169 3.283372846835442
108 183 3.613185087850524
74 92 9.478079343435514
3 46 9.881648654178276
12 123 4.341383807225965
157 199 3.454417020499532
72 132 8.393387917755595
69 78 3.757244543133437
26 140 9.955116148449571
39 64 7.492494128484809
2 148 4.2340450983163365
88 111 8.365597481485018
67 167 9.790115638513997
15 114 4.784982283903785
12 84 2.8633970824101054
26 178 6.917702714622407
78 94 8.53447664973232
