,path,alg,time
0,graphs/random/random_400_0.4.txt,kruskal,17918
1,graphs/random/random_400_0.4.txt,boruvka,63304
2,graphs/random/random_400_0.4.txt,prim_bin_heap,40140
3,graphs/random/random_400_0.4.txt,prim_fib_heap,8974
4,graphs/random/random_500_0.txt,kruskal,438
5,graphs/random/random_500_0.txt,boruvka,1957
6,graphs/random/random_500_0.txt,prim_bin_heap,496
7,graphs/random/random_500_0.txt,prim_fib_heap,882
8,graphs/random/random_800_0.6.txt,kruskal,121477
9,graphs/random/random_800_0.6.txt,boruvka,347421
10,graphs/random/random_800_0.6.txt,prim_bin_heap,394367
11,graphs/random/random_800_0.6.txt,prim_fib_heap,77728
12,graphs/random/random_1000_0.8.txt,kruskal,260494
13,graphs/random/random_1000_0.8.txt,boruvka,688273
14,graphs/random/random_1000_0.8.txt,prim_bin_heap,952672
15,graphs/random/random_1000_0.8.txt,prim_fib_heap,147530
16,graphs/random/random_500_1.txt,kruskal,74559
17,graphs/random/random_500_1.txt,boruvka,202243
18,graphs/random/random_500_1.txt,prim_bin_heap,235126
19,graphs/random/random_500_1.txt,prim_fib_heap,42041
20,graphs/random/random_800_0.8.txt,kruskal,160126
21,graphs/random/random_800_0.8.txt,boruvka,440865
22,graphs/random/random_800_0.8.txt,prim_bin_heap,567257
23,graphs/random/random_800_0.8.txt,prim_fib_heap,92317
24,graphs/random/random_500_0.4.txt,kruskal,29113
25,graphs/random/random_500_0.4.txt,boruvka,104869
26,graphs/random/random_500_0.4.txt,prim_bin_heap,68561
27,graphs/random/random_500_0.4.txt,prim_fib_heap,13937
28,graphs/random/random_400_0.8.txt,kruskal,36611
29,graphs/random/random_400_0.8.txt,boruvka,104752
30,graphs/random/random_400_0.8.txt,prim_bin_heap,96242
31,graphs/random/random_400_0.8.txt,prim_fib_heap,18347
32,graphs/random/random_300_1.txt,kruskal,26300
33,graphs/random/random_300_1.txt,boruvka,63859
34,graphs/random/random_300_1.txt,prim_bin_heap,64980
35,graphs/random/random_300_1.txt,prim_fib_heap,11805
36,graphs/random/random_800_1.txt,kruskal,209236
37,graphs/random/random_800_1.txt,boruvka,506247
38,graphs/random/random_800_1.txt,prim_bin_heap,748740
39,graphs/random/random_800_1.txt,prim_fib_heap,116458
40,graphs/random/random_300_0.4.txt,kruskal,10105
41,graphs/random/random_300_0.4.txt,boruvka,34632
42,graphs/random/random_300_0.4.txt,prim_bin_heap,22497
43,graphs/random/random_300_0.4.txt,prim_fib_heap,5328
44,graphs/random/random_100_0.6.txt,kruskal,1495
45,graphs/random/random_100_0.6.txt,boruvka,5112
46,graphs/random/random_100_0.6.txt,prim_bin_heap,3403
47,graphs/random/random_100_0.6.txt,prim_fib_heap,1019
48,graphs/random/random_1000_0.txt,kruskal,891
49,graphs/random/random_1000_0.txt,boruvka,3686
50,graphs/random/random_1000_0.txt,prim_bin_heap,1045
51,graphs/random/random_1000_0.txt,prim_fib_heap,1866
52,graphs/random/random_1000_0.6.txt,kruskal,197514
53,graphs/random/random_1000_0.6.txt,boruvka,558905
54,graphs/random/random_1000_0.6.txt,prim_bin_heap,672310
55,graphs/random/random_1000_0.6.txt,prim_fib_heap,110391
56,graphs/random/random_200_0.txt,kruskal,178
57,graphs/random/random_200_0.txt,boruvka,804
58,graphs/random/random_200_0.txt,prim_bin_heap,187
59,graphs/random/random_200_0.txt,prim_fib_heap,352
60,graphs/random/random_600_0.6.txt,kruskal,65354
61,graphs/random/random_600_0.6.txt,boruvka,182435
62,graphs/random/random_600_0.6.txt,prim_bin_heap,189596
63,graphs/random/random_600_0.6.txt,prim_fib_heap,35254
64,graphs/random/random_900_0.8.txt,kruskal,213007
65,graphs/random/random_900_0.8.txt,boruvka,580490
