,path,alg,time
0,graphs/random/random_400_0.4.txt,kruskal,2806
1,graphs/random/random_400_0.4.txt,kruskal_boost,6306
2,graphs/random/random_400_0.4.txt,boruvka,10875
3,graphs/random/random_400_0.4.txt,prim_bin_heap,9094
4,graphs/random/random_400_0.4.txt,prim_fib_heap,2866
5,graphs/random/random_400_0.4.txt,prim_boost,2463
6,graphs/random/random_400_0.4.txt,random_KKT,17785
7,graphs/random/random_500_0.txt,kruskal,23
8,graphs/random/random_500_0.txt,kruskal_boost,46
9,graphs/random/random_500_0.txt,boruvka,235
10,graphs/random/random_500_0.txt,prim_bin_heap,23
11,graphs/random/random_500_0.txt,prim_fib_heap,46
12,graphs/random/random_500_0.txt,prim_boost,23
13,graphs/random/random_500_0.txt,random_KKT,655
14,graphs/random/random_800_0.6.txt,kruskal,21742
15,graphs/random/random_800_0.6.txt,kruskal_boost,88450
16,graphs/random/random_800_0.6.txt,boruvka,85057
17,graphs/random/random_800_0.6.txt,prim_bin_heap,200275
18,graphs/random/random_800_0.6.txt,prim_fib_heap,33521
19,graphs/random/random_800_0.6.txt,prim_boost,34922
20,graphs/random/random_800_0.6.txt,random_KKT,138547
21,graphs/random/random_1200_1.txt,kruskal,98218
22,graphs/random/random_1200_1.txt,kruskal_boost,543274
23,graphs/random/random_1200_1.txt,boruvka,341169
24,graphs/random/random_1200_1.txt,prim_bin_heap,1029960
25,graphs/random/random_1200_1.txt,prim_fib_heap,139953
26,graphs/random/random_1200_1.txt,prim_boost,126647
27,graphs/random/random_1200_1.txt,random_KKT,616787
28,graphs/random/random_450_1.txt,kruskal,16601
29,graphs/random/random_450_1.txt,kruskal_boost,68058
30,graphs/random/random_450_1.txt,boruvka,58411
31,graphs/random/random_450_1.txt,prim_bin_heap,123042
32,graphs/random/random_450_1.txt,prim_fib_heap,20736
33,graphs/random/random_450_1.txt,prim_boost,25694
34,graphs/random/random_450_1.txt,random_KKT,77943
35,graphs/random/random_50_0.4.txt,kruskal,14
36,graphs/random/random_50_0.4.txt,kruskal_boost,37
