,path,alg,time
0,graphs/random/random_400_0.4.txt,kruskal,2944
1,graphs/random/random_400_0.4.txt,kruskal_boost,5562
2,graphs/random/random_400_0.4.txt,boruvka,6643
3,graphs/random/random_400_0.4.txt,prim_bin_heap,1241
4,graphs/random/random_400_0.4.txt,prim_fib_heap,628
5,graphs/random/random_400_0.4.txt,prim_boost,457
6,graphs/random/random_500_0.txt,kruskal,23
7,graphs/random/random_500_0.txt,kruskal_boost,43
8,graphs/random/random_500_0.txt,boruvka,218
9,graphs/random/random_500_0.txt,prim_bin_heap,20
10,graphs/random/random_500_0.txt,prim_fib_heap,45
11,graphs/random/random_500_0.txt,prim_boost,27
12,graphs/random/random_800_0.6.txt,kruskal,24419
13,graphs/random/random_800_0.6.txt,kruskal_boost,83839
14,graphs/random/random_800_0.6.txt,boruvka,43730
15,graphs/random/random_800_0.6.txt,prim_bin_heap,31962
16,graphs/random/random_800_0.6.txt,prim_fib_heap,6154
17,graphs/random/random_800_0.6.txt,prim_boost,5452
18,graphs/random/random_1000_0.8.txt,kruskal,49656
19,graphs/random/random_1000_0.8.txt,kruskal_boost,228474
20,graphs/random/random_1000_0.8.txt,boruvka,86070
21,graphs/random/random_1000_0.8.txt,prim_bin_heap,72678
22,graphs/random/random_1000_0.8.txt,prim_fib_heap,13398
23,graphs/random/random_1000_0.8.txt,prim_boost,10723
24,graphs/random/random_500_1.txt,kruskal,13766
25,graphs/random/random_500_1.txt,kruskal_boost,40308
26,graphs/random/random_500_1.txt,boruvka,22341
27,graphs/random/random_500_1.txt,prim_bin_heap,16993
28,graphs/random/random_500_1.txt,prim_fib_heap,3619
29,graphs/random/random_500_1.txt,prim_boost,2913
30,graphs/random/random_800_0.8.txt,kruskal,29814
31,graphs/random/random_800_0.8.txt,kruskal_boost,123216
32,graphs/random/random_800_0.8.txt,boruvka,54144
33,graphs/random/random_800_0.8.txt,prim_bin_heap,42915
34,graphs/random/random_800_0.8.txt,prim_fib_heap,8369
35,graphs/random/random_800_0.8.txt,prim_boost,6865
36,graphs/random/random_500_0.4.txt,kruskal,5232
37,graphs/random/random_500_0.4.txt,kruskal_boost,10489
38,graphs/random/random_500_0.4.txt,boruvka,11835
39,graphs/random/random_500_0.4.txt,prim_bin_heap,2872
