,path,alg,time
0,graphs/random/random_400_0.4.txt,kruskal,2404
1,graphs/random/random_400_0.4.txt,kruskal_boost,5880
2,graphs/random/random_400_0.4.txt,boruvka,6555
3,graphs/random/random_400_0.4.txt,prim_bin_heap,1372
4,graphs/random/random_400_0.4.txt,prim_fib_heap,541
5,graphs/random/random_400_0.4.txt,prim_boost,420
6,graphs/random/random_400_0.4.txt,random_KKT,10121
7,graphs/random/random_500_0.txt,kruskal,24
8,graphs/random/random_500_0.txt,kruskal_boost,40
9,graphs/random/random_500_0.txt,boruvka,227
10,graphs/random/random_500_0.txt,prim_bin_heap,20
11,graphs/random/random_500_0.txt,prim_fib_heap,46
12,graphs/random/random_500_0.txt,prim_boost,25
13,graphs/random/random_500_0.txt,random_KKT,605
14,graphs/random/random_800_0.6.txt,kruskal,18701
15,graphs/random/random_800_0.6.txt,kruskal_boost,79848
16,graphs/random/random_800_0.6.txt,boruvka,42541
17,graphs/random/random_800_0.6.txt,prim_bin_heap,29164
18,graphs/random/random_800_0.6.txt,prim_fib_heap,6412
19,graphs/random/random_800_0.6.txt,prim_boost,6202
20,graphs/random/random_800_0.6.txt,random_KKT,63746
21,graphs/random/random_1200_1.txt,kruskal,83833
22,graphs/random/random_1200_1.txt,kruskal_boost,497366
23,graphs/random/random_1200_1.txt,boruvka,144518
24,graphs/random/random_1200_1.txt,prim_bin_heap,138074
25,graphs/random/random_1200_1.txt,prim_fib_heap,22883
26,graphs/random/random_1200_1.txt,prim_boost,18606
27,graphs/random/random_1200_1.txt,random_KKT,208283
28,graphs/random/random_450_1.txt,kruskal,9080
29,graphs/random/random_450_1.txt,kruskal_boost,31238
30,graphs/random/random_450_1.txt,boruvka,17671
31,graphs/random/random_450_1.txt,prim_bin_heap,12222
32,graphs/random/random_450_1.txt,prim_fib_heap,2940
33,graphs/random/random_450_1.txt,prim_boost,2375
34,graphs/random/random_450_1.txt,random_KKT,25602
35,graphs/random/random_50_0.4.txt,kruskal,15
36,graphs/random/random_50_0.4.txt,kruskal_boost,35
37,graphs/random/random_50_0.4.txt,boruvka,94
38,graphs/random/random_50_0.4.txt,prim_bin_heap,15
39,graphs/random/random_50_0.4.txt,prim_fib_heap,10
40,graphs/random/random_50_0.4.txt,prim_boost,6
41,graphs/random/random_50_0.4.txt,random_KKT,241
42,graphs/random/random_1000_0.8.txt,kruskal,41506
43,graphs/random/random_1000_0.8.txt,kruskal_boost,222961
44,graphs/random/random_1000_0.8.txt,boruvka,86208
45,graphs/random/random_1000_0.8.txt,prim_bin_heap,69814
46,graphs/random/random_1000_0.8.txt,prim_fib_heap,12815
47,graphs/random/random_1000_0.8.txt,prim_boost,10487
